english,hindi,punjabi
the student learned a project tomorrow.,छात्र एक परियोजना सीखा कल।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖਿਆ ਕੱਲ੍ਹ।
they am learning a translation system carefully.,वे एक अनुवाद प्रणाली सीख रहा हूँ ध्यान से।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
she am studying data science at home.,वह डेटा साइंस पढ़ाई कर रहा हूँ घर पर।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
we am reading a project tomorrow.,हम एक परियोजना पढ़ रहा हूँ कल।,ਅਸੀਂ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
the student am learning the lesson at home.,छात्र पाठ सीख रहा हूँ घर पर।,ਵਿਦਿਆਰਥੀ ਪਾਠ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
we am studying a project carefully.,हम एक परियोजना पढ़ाई कर रहा हूँ ध्यान से।,ਅਸੀਂ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
they will write a project quickly.,वे एक परियोजना लिखूँगा जल्दी।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖਾਂਗਾ ਜਲਦੀ।
we studied data science at university.,हम डेटा साइंस अध्ययन किया विश्वविद्यालय में।,ਅਸੀਂ ਡਾਟਾ ਸਾਇੰਸ ਅਧਿਐਨ ਕੀਤਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the teacher am writing the lesson carefully.,शिक्षक पाठ लिख रहा हूँ ध्यान से।,ਅਧਿਆਪक ਪਾਠ ਲਿਖ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
the teacher am reading data science tomorrow.,शिक्षक डेटा साइंस पढ़ रहा हूँ कल।,ਅਧਿਆਪक ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
the student am studying a project at home.,छात्र एक परियोजना पढ़ाई कर रहा हूँ घर पर।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
he am studying artificial intelligence quickly.,वह कृत्रिम बुद्धिमत्ता पढ़ाई कर रहा हूँ जल्दी।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
she will build the lesson at university.,वह पाठ बनाऊँगा विश्वविद्यालय में।,ਉਹ ਪਾਠ ਬਣਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
he will write data science at university.,वह डेटा साइंस लिखूँगा विश्वविद्यालय में।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਲਿਖਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend am studying the lesson at home.,मेरा दोस्त पाठ पढ़ाई कर रहा हूँ घर पर।,ਮੇਰਾ ਦੋਸਤ ਪਾਠ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
the student am building the lesson quickly.,छात्र पाठ बना रहा हूँ जल्दी।,ਵਿਦਿਆਰਥੀ ਪਾਠ ਬਣਾ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
the student read machine learning quickly.,छात्र मशीन लर्निंग पढ़ा जल्दी।,ਵਿਦਿਆਰਥੀ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਿਆ ਜਲਦੀ।
we am reading the lesson at university.,हम पाठ पढ़ रहा हूँ विश्वविद्यालय में।,ਅਸੀਂ ਪਾਠ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
he will read a book today.,वह एक किताब पढ़ूँगा आज।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਂਗਾ ਅੱਜ।
the teacher am building artificial intelligence carefully.,शिक्षक कृत्रिम बुद्धिमत्ता बना रहा हूँ ध्यान से।,ਅਧਿਆਪक ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
my friend am reading machine learning quickly.,मेरा दोस्त मशीन लर्निंग पढ़ रहा हूँ जल्दी।,ਮੇਰਾ ਦੋਸਤ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
the teacher built a translation system carefully.,शिक्षक एक अनुवाद प्रणाली बनाया ध्यान से।,ਅਧਿਆਪक ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਇਆ ਧਿਆਨ ਨਾਲ।
he will study a book carefully.,वह एक किताब अध्ययन करूँगा ध्यान से।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕਰਾਂਗਾ ਧਿਆਨ ਨਾਲ।
the teacher will study data science at university.,शिक्षक डेटा साइंस अध्ययन करूँगा विश्वविद्यालय में।,ਅਧਿਆਪक ਡਾਟਾ ਸਾਇੰਸ ਅਧਿਐਨ ਕਰਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
i will learn artificial intelligence at home.,मैं कृत्रिम बुद्धिमत्ता सीखूँगा घर पर।,ਮੈਂ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖਾਂਗਾ ਘਰ ਵਿੱਚ।
he will build artificial intelligence at home.,वह कृत्रिम बुद्धिमत्ता बनाऊँगा घर पर।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾਂਗਾ ਘਰ ਵਿੱਚ।
he read the lesson today.,वह पाठ पढ़ा आज।,ਉਹ ਪਾਠ ਪੜ੍ਹਿਆ ਅੱਜ।
the teacher will read the lesson at university.,शिक्षक पाठ पढ़ूँगा विश्वविद्यालय में।,ਅਧਿਆਪक ਪਾਠ ਪੜ੍ਹਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the teacher am building machine learning today.,शिक्षक मशीन लर्निंग बना रहा हूँ आज।,ਅਧਿਆਪक ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਬਣਾ ਰਿਹਾ ਹਾਂ ਅੱਜ।
she will study data science carefully.,वह डेटा साइंस अध्ययन करूँगा ध्यान से।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਅਧਿਐਨ ਕਰਾਂਗਾ ਧਿਆਨ ਨਾਲ।
we am studying machine learning at home.,हम मशीन लर्निंग पढ़ाई कर रहा हूँ घर पर।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
we am studying a book carefully.,हम एक किताब पढ़ाई कर रहा हूँ ध्यान से।,ਅਸੀਂ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
they built a project tomorrow.,वे एक परियोजना बनाया कल।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਬਣਾਇਆ ਕੱਲ੍ਹ।
my friend am studying machine learning at home.,मेरा दोस्त मशीन लर्निंग पढ़ाई कर रहा हूँ घर पर।,ਮੇਰਾ ਦੋਸਤ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
my friend am learning the lesson quickly.,मेरा दोस्त पाठ सीख रहा हूँ जल्दी।,ਮੇਰਾ ਦੋਸਤ ਪਾਠ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
she will build data science tomorrow.,वह डेटा साइंस बनाऊँगा कल।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਬਣਾਂਗਾ ਕੱਲ੍ਹ।
he will build machine learning quickly.,वह मशीन लर्निंग बनाऊँगा जल्दी।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਬਣਾਂਗਾ ਜਲਦੀ।
my friend will study a book at university.,मेरा दोस्त एक किताब अध्ययन करूँगा विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕਰਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
he will build the lesson at university.,वह पाठ बनाऊँगा विश्वविद्यालय में।,ਉਹ ਪਾਠ ਬਣਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student will write data science today.,छात्र डेटा साइंस लिखूँगा आज।,ਵਿਦਿਆਰਥੀ ਡਾਟਾ ਸਾਇੰਸ ਲਿਖਾਂਗਾ ਅੱਜ।
the teacher am studying machine learning today.,शिक्षक मशीन लर्निंग पढ़ाई कर रहा हूँ आज।,ਅਧਿਆਪक ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਅੱਜ।
she will study artificial intelligence at university.,वह कृत्रिम बुद्धिमत्ता अध्ययन करूँगा विश्वविद्यालय में।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਅਧਿਐਨ ਕਰਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
we wrote a project today.,हम एक परियोजना लिखा आज।,ਅਸੀਂ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖਿਆ ਅੱਜ।
my friend learned machine learning at university.,मेरा दोस्त मशीन लर्निंग सीखा विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਸਿੱਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend am studying a book tomorrow.,मेरा दोस्त एक किताब पढ़ाई कर रहा हूँ कल।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
we will study a translation system today.,हम एक अनुवाद प्रणाली अध्ययन करूँगा आज।,ਅਸੀਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਅਧਿਐਨ ਕਰਾਂਗਾ ਅੱਜ।
he am building machine learning at home.,वह मशीन लर्निंग बना रहा हूँ घर पर।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਬਣਾ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
my friend studied machine learning at university.,मेरा दोस्त मशीन लर्निंग अध्ययन किया विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਅਧਿਐਨ ਕੀਤਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend am writing a book quickly.,मेरा दोस्त एक किताब लिख रहा हूँ जल्दी।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਕਿਤਾਬ ਲਿਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
he will read a project carefully.,वह एक परियोजना पढ़ूँगा ध्यान से।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਾਂਗਾ ਧਿਆਨ ਨਾਲ।
the teacher learned a translation system at home.,शिक्षक एक अनुवाद प्रणाली सीखा घर पर।,ਅਧਿਆਪक ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਿਆ ਘਰ ਵਿੱਚ।
my friend will write artificial intelligence tomorrow.,मेरा दोस्त कृत्रिम बुद्धिमत्ता लिखूँगा कल।,ਮੇਰਾ ਦੋਸਤ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖਾਂਗਾ ਕੱਲ੍ਹ।
she read the lesson today.,वह पाठ पढ़ा आज।,ਉਹ ਪਾਠ ਪੜ੍ਹਿਆ ਅੱਜ।
i am studying a book today.,मैं एक किताब पढ़ाई कर रहा हूँ आज।,ਮੈਂ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਅੱਜ।
she am building a book carefully.,वह एक किताब बना रहा हूँ ध्यान से।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਬਣਾ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
the teacher am studying machine learning at home.,शिक्षक मशीन लर्निंग पढ़ाई कर रहा हूँ घर पर।,ਅਧਿਆਪक ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
he am studying a book quickly.,वह एक किताब पढ़ाई कर रहा हूँ जल्दी।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
she will study machine learning at home.,वह मशीन लर्निंग अध्ययन करूँगा घर पर।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਅਧਿਐਨ ਕਰਾਂਗਾ ਘਰ ਵਿੱਚ।
she will read data science quickly.,वह डेटा साइंस पढ़ूँगा जल्दी।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਾਂਗਾ ਜਲਦੀ।
we read machine learning tomorrow.,हम मशीन लर्निंग पढ़ा कल।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਿਆ ਕੱਲ੍ਹ।
he will write artificial intelligence quickly.,वह कृत्रिम बुद्धिमत्ता लिखूँगा जल्दी।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖਾਂਗਾ ਜਲਦੀ।
the teacher will read a translation system today.,शिक्षक एक अनुवाद प्रणाली पढ़ूँगा आज।,ਅਧਿਆਪक ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਾਂਗਾ ਅੱਜ।
she studied a translation system at university.,वह एक अनुवाद प्रणाली अध्ययन किया विश्वविद्यालय में।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਅਧਿਐਨ ਕੀਤਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
i am reading machine learning quickly.,मैं मशीन लर्निंग पढ़ रहा हूँ जल्दी।,ਮੈਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
we learned the lesson tomorrow.,हम पाठ सीखा कल।,ਅਸੀਂ ਪਾਠ ਸਿੱਖਿਆ ਕੱਲ੍ਹ।
he will learn a translation system carefully.,वह एक अनुवाद प्रणाली सीखूँगा ध्यान से।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਾਂਗਾ ਧਿਆਨ ਨਾਲ।
we will write data science today.,हम डेटा साइंस लिखूँगा आज।,ਅਸੀਂ ਡਾਟਾ ਸਾਇੰਸ ਲਿਖਾਂਗਾ ਅੱਜ।
she am learning a project at home.,वह एक परियोजना सीख रहा हूँ घर पर।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
i will learn artificial intelligence at university.,मैं कृत्रिम बुद्धिमत्ता सीखूँगा विश्वविद्यालय में।,ਮੈਂ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she learned a translation system at home.,वह एक अनुवाद प्रणाली सीखा घर पर।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਿਆ ਘਰ ਵਿੱਚ।
they read the lesson quickly.,वे पाठ पढ़ा जल्दी।,ਉਹ ਪਾਠ ਪੜ੍ਹਿਆ ਜਲਦੀ।
my friend will build artificial intelligence tomorrow.,मेरा दोस्त कृत्रिम बुद्धिमत्ता बनाऊँगा कल।,ਮੇਰਾ ਦੋਸਤ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾਂਗਾ ਕੱਲ੍ਹ।
he wrote a translation system at home.,वह एक अनुवाद प्रणाली लिखा घर पर।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖਿਆ ਘਰ ਵਿੱਚ।
my friend studied data science at university.,मेरा दोस्त डेटा साइंस अध्ययन किया विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਡਾਟਾ ਸਾਇੰਸ ਅਧਿਐਨ ਕੀਤਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she built a book tomorrow.,वह एक किताब बनाया कल।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਬਣਾਇਆ ਕੱਲ੍ਹ।
the student built a project tomorrow.,छात्र एक परियोजना बनाया कल।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਬਣਾਇਆ ਕੱਲ੍ਹ।
they will learn artificial intelligence today.,वे कृत्रिम बुद्धिमत्ता सीखूँगा आज।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖਾਂਗਾ ਅੱਜ।
i am building artificial intelligence today.,मैं कृत्रिम बुद्धिमत्ता बना रहा हूँ आज।,ਮੈਂ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾ ਰਿਹਾ ਹਾਂ ਅੱਜ।
the teacher am building a book quickly.,शिक्षक एक किताब बना रहा हूँ जल्दी।,ਅਧਿਆਪक ਇੱਕ ਕਿਤਾਬ ਬਣਾ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
i am writing a translation system at home.,मैं एक अनुवाद प्रणाली लिख रहा हूँ घर पर।,ਮੈਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
she will study a book carefully.,वह एक किताब अध्ययन करूँगा ध्यान से।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕਰਾਂਗਾ ਧਿਆਨ ਨਾਲ।
the teacher am reading machine learning today.,शिक्षक मशीन लर्निंग पढ़ रहा हूँ आज।,ਅਧਿਆਪक ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਅੱਜ।
he will write machine learning carefully.,वह मशीन लर्निंग लिखूँगा ध्यान से।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖਾਂਗਾ ਧਿਆਨ ਨਾਲ।
the student am writing machine learning at home.,छात्र मशीन लर्निंग लिख रहा हूँ घर पर।,ਵਿਦਿਆਰਥੀ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
i built a translation system at home.,मैं एक अनुवाद प्रणाली बनाया घर पर।,ਮੈਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਇਆ ਘਰ ਵਿੱਚ।
my friend am reading machine learning carefully.,मेरा दोस्त मशीन लर्निंग पढ़ रहा हूँ ध्यान से।,ਮੇਰਾ ਦੋਸਤ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
the student will build machine learning today.,छात्र मशीन लर्निंग बनाऊँगा आज।,ਵਿਦਿਆਰਥੀ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਬਣਾਂਗਾ ਅੱਜ।
they will study a book quickly.,वे एक किताब अध्ययन करूँगा जल्दी।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕਰਾਂਗਾ ਜਲਦੀ।
the teacher will read a translation system tomorrow.,शिक्षक एक अनुवाद प्रणाली पढ़ूँगा कल।,ਅਧਿਆਪक ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਾਂਗਾ ਕੱਲ੍ਹ।
the student studied a book at home.,छात्र एक किताब अध्ययन किया घर पर।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕੀਤਾ ਘਰ ਵਿੱਚ।
my friend am studying a translation system carefully.,मेरा दोस्त एक अनुवाद प्रणाली पढ़ाई कर रहा हूँ ध्यान से।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
we learned a book carefully.,हम एक किताब सीखा ध्यान से।,ਅਸੀਂ ਇੱਕ ਕਿਤਾਬ ਸਿੱਖਿਆ ਧਿਆਨ ਨਾਲ।
she studied the lesson quickly.,वह पाठ अध्ययन किया जल्दी।,ਉਹ ਪਾਠ ਅਧਿਐਨ ਕੀਤਾ ਜਲਦੀ।
i built data science today.,मैं डेटा साइंस बनाया आज।,ਮੈਂ ਡਾਟਾ ਸਾਇੰਸ ਬਣਾਇਆ ਅੱਜ।
the teacher will read the lesson at home.,शिक्षक पाठ पढ़ूँगा घर पर।,ਅਧਿਆਪक ਪਾਠ ਪੜ੍ਹਾਂਗਾ ਘਰ ਵਿੱਚ।
i learned data science at university.,मैं डेटा साइंस सीखा विश्वविद्यालय में।,ਮੈਂ ਡਾਟਾ ਸਾਇੰਸ ਸਿੱਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
they wrote data science at university.,वे डेटा साइंस लिखा विश्वविद्यालय में।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਲਿਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
they am building data science at home.,वे डेटा साइंस बना रहा हूँ घर पर।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਬਣਾ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
we built artificial intelligence tomorrow.,हम कृत्रिम बुद्धिमत्ता बनाया कल।,ਅਸੀਂ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾਇਆ ਕੱਲ੍ਹ।
the student studied a translation system carefully.,छात्र एक अनुवाद प्रणाली अध्ययन किया ध्यान से।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਅਧਿਐਨ ਕੀਤਾ ਧਿਆਨ ਨਾਲ।
the student will learn data science today.,छात्र डेटा साइंस सीखूँगा आज।,ਵਿਦਿਆਰਥੀ ਡਾਟਾ ਸਾਇੰਸ ਸਿੱਖਾਂਗਾ ਅੱਜ।
she will write the lesson today.,वह पाठ लिखूँगा आज।,ਉਹ ਪਾਠ ਲਿਖਾਂਗਾ ਅੱਜ।
i learned the lesson quickly.,मैं पाठ सीखा जल्दी।,ਮੈਂ ਪਾਠ ਸਿੱਖਿਆ ਜਲਦੀ।
the student will build artificial intelligence today.,छात्र कृत्रिम बुद्धिमत्ता बनाऊँगा आज।,ਵਿਦਿਆਰਥੀ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾਂਗਾ ਅੱਜ।
they will learn a translation system quickly.,वे एक अनुवाद प्रणाली सीखूँगा जल्दी।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਾਂਗਾ ਜਲਦੀ।
they am learning data science tomorrow.,वे डेटा साइंस सीख रहा हूँ कल।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
he am writing the lesson at home.,वह पाठ लिख रहा हूँ घर पर।,ਉਹ ਪਾਠ ਲਿਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
my friend read artificial intelligence tomorrow.,मेरा दोस्त कृत्रिम बुद्धिमत्ता पढ़ा कल।,ਮੇਰਾ ਦੋਸਤ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਪੜ੍ਹਿਆ ਕੱਲ੍ਹ।
my friend will read a book quickly.,मेरा दोस्त एक किताब पढ़ूँगा जल्दी।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਂਗਾ ਜਲਦੀ।
she am learning a translation system carefully.,वह एक अनुवाद प्रणाली सीख रहा हूँ ध्यान से।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
we will learn the lesson at university.,हम पाठ सीखूँगा विश्वविद्यालय में।,ਅਸੀਂ ਪਾਠ ਸਿੱਖਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
we built artificial intelligence at university.,हम कृत्रिम बुद्धिमत्ता बनाया विश्वविद्यालय में।,ਅਸੀਂ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾਇਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend will write a project quickly.,मेरा दोस्त एक परियोजना लिखूँगा जल्दी।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖਾਂਗਾ ਜਲਦੀ।
i am writing a translation system at university.,मैं एक अनुवाद प्रणाली लिख रहा हूँ विश्वविद्यालय में।,ਮੈਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend will build a translation system at university.,मेरा दोस्त एक अनुवाद प्रणाली बनाऊँगा विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
we will read a translation system today.,हम एक अनुवाद प्रणाली पढ़ूँगा आज।,ਅਸੀਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਾਂਗਾ ਅੱਜ।
they built a translation system today.,वे एक अनुवाद प्रणाली बनाया आज।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਇਆ ਅੱਜ।
